Property Name,ZIP Code,Chicago Energy Rating,Community Area,Primary Property Type,Gross Floor Area - Buildings (sq ft),Year Built,# of Buildings,Water Use (kGal),ENERGY STAR Score,Electricity Use (kBtu),Natural Gas Use (kBtu),District Steam Use (kBtu),District Chilled Water Use (kBtu),Site EUI (kBtu/sq ft),Source EUI (kBtu/sq ft),Weather Normalized Site EUI (kBtu/sq ft),Weather Normalized Source EUI (kBtu/sq ft),Total GHG Emissions (Metric Tons CO2e),GHG Intensity (kg CO2e/sq ft)
Galter Life Center,60625,,LINCOLN SQUARE,Outpatient Rehabilitation/Physical Therapy,71918,1991,1,,,8125156,8949800,,,237.4,485.4,245.5,493.4,1977.7,27.5
THE WATERGATE EAST CONDOMINIUM,60615,,HYDE PARK,Multifamily Housing,54700,1970,1,,62,2490370,,,,45.5,143,,,459,8.4
Market Place at Six Corners 10361,60641,,PORTAGE PARK,Other - Mall,77966,1997,1,,,14308614,801716,,,193.8,587.1,193.4,585.3,2917,37.4
West Chatham Plaza,60620,,LOOP,Strip Mall,68200,1986,1,,,2346835,4014943,,,93.3,169.9,96.5,173.3,647.2,9.5
Submit 2018* - 1401 W Roosevelt,60608,,NEAR WEST SIDE,Multifamily Housing,69385,2006,1,,100,1220389,,,,17.6,55.2,17.5,54.9,225.6,3.3
3150 CA,60657,,LAKE VIEW,Multifamily Housing,497000,1974,1,,83,9219445.8,27995469.6,,,74.9,117.4,82.3,125.2,3186.3,6.4
1345 S. Wabash Condominium Association,60605,,Near South Side,Multifamily Housing,175500,2015,1,,96,2149727,7233916,,,53.5,81.7,57.3,86,781.7,4.5
Academy of General Dentistry,60661,,NEAR WEST SIDE,Office,113151,1920,1,,81,5790457,,,,51.2,160.7,53.9,169.2,1070.6,9.5
Cabrini Rowhomes,60610,,NEAR NORTH SIDE,,744162,,1,26987,,,,,,,,,,,
Hampden Green Condominium Association,60614,1,LINCOLN PARK,Multifamily Housing,140000,1970,1,12700,17,3399112.9,16960300,,,145.4,195.2,145.4,195.2,1466.3,10.5
International House,60637,,Hyde Park,Residence Hall/Dormitory,237121,1932,1,,66,7213902.9,23707,8838095.7,626040,70.4,143.1,75,148.6,1950.8,8.2
210 E Pearson Condominium Association,60611,,NEAR NORTH SIDE,Multifamily Housing,104142,1926,1,,52,1861682.7,8928512.7,,,103.6,146.2,114.1,155.6,817.4,7.8
Lake Meadows 8,60616,,DOUGLAS,Multifamily Housing,303979,1956,1,,35,2417631,37905980,,,132.7,155.9,144.1,167.8,2460.4,8.1
(IL247) - River Place on the Park Condo,60654,4,NEAR NORTH SIDE,Multifamily Housing,390274,2006,1,4417,89,7516721.3,16923768.3,,,62.6,99.5,60.7,95.8,2149.4,5.5
The Silver Tower Chicago Condominium Association,60654,,NEAR NORTH SIDE,Multifamily Housing,285627,2009,1,,61,7962280.7,13537311.4,,,75.3,137.3,80.2,142.4,2186.6,7.7
Noble Street Lofts Condominium,60642,2,WEST TOWN,Multifamily Housing,66000,1989,1,2078,45,1575695.7,3732382.6,,,80.4,126.2,76.9,121.2,460.4,7
Jahn World L-CPS,60657,,NORTH CENTER,K-12 School,83029,1908,1,,80,1407740,4182962,,,67.3,106.1,71.8,110.9,505,6.1
7219 N Sheridan Rd,60626,1,ROGERS PARK,Multifamily Housing,52998,1928,1,1822,9,758665,6741435.5,,,141.5,173.6,135.3,165.4,484.3,9.1
InterContinental,60611,,NEAR NORTH SIDE,Hotel,715161,1929,1,,43,34462531,59372517,,,131.2,238.5,134,240.7,10078,14.1
Presence Resurrection Retirement Community,60631,,NORWOOD PARK,Multifamily Housing,404455,1978,4,,9,17467925.1,27348901.5,,,110.8,206.6,116.7,209.6,4672.3,11.6
Union Health Service,60612,,NEAR WEST SIDE,Medical Office,51000,1964,1,,43,3975898,2843144,,,133.7,303.3,141.1,313.4,886.1,17.4
American Islamic College,60613,,UPTOWN,,200024,,1,881,,,,,,,,,,,
Lurie Children's Faculty Office Building,60611,,NEAR NORTH SIDE,Office,82717,1917,1,,50,5129317.6,7204519.9,,,149.1,286.2,152,285.5,1328.1,16.1
5604 5624 S WABASH AVE,60637,0,WASHINGTON PARK,,52081,,1,2146,,,,,,,,,,,
Library Towers Condo Association,60605,3.5,LOOP,Multifamily Housing,363761,2008,1,7645,71,7888810.1,16655161.8,,,67.5,108.8,65.5,105.6,2197.1,6
Michigan Plaza,60601,4,LOOP,Office,2059714,1981,1,6014,65,117046101,161102.7,,,56.9,159.2,,,19480.8,9.5
Courtyard Chicago Downtown Mag Mile,60611,,NEAR NORTH SIDE,Hotel,286929,2003,1,,77,9929722,10451427,,,71,146.9,72.6,147.8,2391.1,8.3
"The Ritz-Carlton Residences, Chicago, Magnificent Mile",60611,,NEAR NORTH SIDE,Multifamily Housing,326409,2012,1,,8,11625104,14293924,,11069616,113.3,191.7,114.5,193.5,,
Gateway West Loop,60607,,Near West Side,Multifamily Housing,133879,2015,1,,26,5570496,6077668,,,87,178.3,91.4,182.2,1352.8,10.1
1150 West Fullerton Building,60614,,LINCOLN PARK,College/University,52043,1994,1,,,1785571,1719153,,,67.3,142.4,72.3,150.4,421.5,8.1
3941 N. Pine Grove Ave.,60613,,LAKE VIEW,Multifamily Housing,108120,1928,1,,100,1559243.1,1314203.4,,,26.6,58,27,58.5,357.2,3.3
340 E 38TH ST,60653,0,DOUGLAS,,148662,,1,7993,,,,,,,,,,,
Morgan Park-CPS,60643,4,MORGAN PARK,K-12 School,269480,1921,1,2056,92,6830646.6,8807593.3,,,58,105.3,58.3,105.7,1604.2,6
Kingston Place,60649,4,SOUTH SHORE,Multifamily Housing,62729,2000,1,3266,92,509275.1,4185341.8,,,74.8,92.8,75.9,93.9,307,4.9
Durkin Park-CPS,60625,,ASHBURN,K-12 School,79722,1961,1,,38,2414587,2469194,,,61.3,127.6,64.4,130.9,577.6,7.2
One North Franklin,60606,4,LOOP,Office,716245,1991,1,5967,68,37841127.2,,,,52.8,147.9,51.8,145,6295.4,8.8
CAIII Condominium Association (122-134 S. Aberdeen and 1100 W. Adams),60614,4,NEAR WEST SIDE,Multifamily Housing,120000,2015,1,1571,98,1639626.4,3986522.9,,,46.9,73.1,44.8,70.1,484.5,4
The Monadnock Building,60604,4,LOOP,Office,496749,1890,1,3420,92,7676894.2,12888009.4,,,41.4,70.5,41.6,70.6,1961.7,3.9
The Private Residences of Ritchie Court,60610,3.5,NEAR NORTH SIDE,Multifamily Housing,194807,1973,1,5876,55,9042100.3,,,,46.4,130,45.2,126.4,1504.3,7.7
2641 West Harrison,60612,2,EAST GARFIELD PARK,Other,55754,2007,1,177,,2053938.7,3172904.9,,,93.7,162.9,92.7,161.8,510.2,9.2
Lunt Avenue Condominium & Health Club,60626,3,ROGERS PARK,Multifamily Housing,59768,1925,1,1768,45,455205.2,4263133,,,78.9,96.2,81.3,97.7,302.2,5.1
111 South Wacker,60606,,LOOP,Office,1248730,2004,1,,86,75393156,,,,60.4,189.6,62.7,196.9,13939.8,11.2
Park Castle Condominium Association,60645,,WEST RIDGE,Multifamily Housing,80000,1927,1,,67,415708,7955500,,,104.6,120.7,116.3,133.2,499.4,6.2
Crown Plaza West Loop,60661,1,NEAR WEST SIDE,Hotel,110000,1968,1,12186,5,11415173.6,16917499.8,,,257.6,452.1,258.2,452.7,2797.6,25.4
Onahan Eleme-CPS,60631,,NORWOOD PARK,K-12 School,90969,1928,1,,32,2104752.3,6314498.8,,,92.6,145.5,100.4,153.8,723.3,8
First Presbyterian Church of Chicago,60637,,WOODLAWN,Worship Facility,50000,1928,1,,68,201431.1,3045977.4,,,64.9,76.6,72.8,84.9,199,4
Mitchell Sch-CPS,60612,,WEST TOWN,K-12 School,56385,1891,1,,87,1013866,2341524,,,59.5,100.1,62.9,103.6,328,5.8
Okeeffe Elem-CPS,60649,1.5,SOUTH SHORE,K-12 School,95310,1925,1,1201,40,3035926.6,5719727.4,,,91.9,152.2,88.1,146.6,808.9,8.5
03349-Narragansett & Diversey,60639,,BELMONT CRAGIN,Supermarket/Grocery Store,64285,2004,1,,81,9927858.9,4201500,,,219.8,553.6,223.8,553.1,2053.1,31.9
Marquette El-CPS,60629,,CHICAGO LAWN,K-12 School,172688,2014,1,,53,4593350,6380272,,,63.5,122.3,68.7,127.3,1188.2,6.9
Holiday Inn Downtown Chicago,60607,2.5,NEAR WEST SIDE,Hotel,150937,1967,1,5445,54,6366297.3,10847701.5,,,114,193.6,111.7,189.4,1635.3,10.8
5527 5537 S EVERETT AVE,60637,0,HYDE PARK,,58872,,1,1809,,,,,,,,,,,
5400 N Sheridan,60640,,Edgewater,Multifamily Housing,71193,1968,1,,89,924002.7,4150817.6,,,71.3,102,75,104.3,390.8,5.5
Northwestern University Chicago Campus,60611,,NEAR NORTH SIDE,College/University,2238599,1925,12,,,219950383,516911375,,,339,560,,,73204,32.7
Advocate Trinity Hospital,60617,,CALUMET HEIGHTS,Hospital (General Medical & Surgical),369087,1960,1,,57,31138936,60536647,,,248,437,245,433,9472,25.66
Mt Greenwood-CPS,60655,,MOUNT GREENWOOD,K-12 School,84660,1949,1,,82,1539848,4181552,,,67.6,109,72.3,114.3,532,6.3
Auditorium Building,60605,4,LOOP,College/University,598474,1889,1,6427,,17343837.5,13317879.1,,,51.2,104.5,50.3,103.5,3592.8,6
Walmart Supercenter #5617,60639,,HERMOSA,Wholesale Club/Supercenter,116720,2013,1,,61,8483624,6835157,,,131.2,289.7,135.1,292.6,2068,17.7
Prajakta Meharunkar,60614,,LINCOLN PARK,,207342,,1,1692,,,,,,,,,,,
Drexel Towers 4917,60615,4,Kenwood,Multifamily Housing,71000,1970,1,4762,91,1140102.7,5272306.2,,,90.3,122.9,88.1,120.6,469.7,6.6
The Lofts at Arthington,60624,4,NORTH LAWNDALE,Multifamily Housing,228897,1909,2,4069,95,2707305,11970138.7,,,64.1,88,62.1,85.1,1086.2,4.7
Portage Park-CPS,60641,,PORTAGE PARK,K-12 School,145775,1915,1,,94,2599222,2193748,,,32.9,71.8,33.1,72.1,639,4.4
POLICE TRAINING ACADEMY,60607,1,NEAR WEST SIDE,Adult Education,180000,1975,1,4275,,12011686.7,16174675.4,,,156.6,281.2,155.9,279.2,2857.4,15.9
2828 N Burling,60657,4,LAKE VIEW,Multifamily Housing,60665,1965,1,1837,87,1753819.2,754315.2,,,41.3,94,41.7,94.9,331.8,5.5
Lucy Lang Chappell Housing,60624,4,EAST GARFIELD PARK,Multifamily Housing,127711,1993,1,2308,,1036924.9,2794846.9,,,30,45.7,30.4,46.1,321,2.5
CITY NORTH 14,60647,1,LOGAN SQUARE,Movie Theater,73000,2010,1,2104,,9052650.2,3570600,,,172.9,398.6,170.3,395.9,1695.7,23.2
Webster Place Shopping Center,60614,,LINCOLN PARK,Retail Store,137000,1988,1,,,3531881,7493300,,,80.5,138.4,85.3,143.5,1051,7.7
Santa Clara Hall,60626,,ROGERS PARK,College/University,61053,1970,1,,,1678439,2473400,,,68,128.9,68.9,129.8,469,7.7
525 West Monroe,60661,,NEAR WEST SIDE,Office,1028492,1983,1,,97,37891045,508531,,,37.3,116.2,38.6,120.1,7033.8,6.8
Leo High School,60620,,AUBURN GRESHAM,K-12 School,88206,1926,1,,66,867335,6391452,,,82.3,107,90.2,115.3,499.8,5.7
207,60609,4,NEW CITY,Supermarket/Grocery Store,146189,1955,1,2396,82,10832670.1,4544147.3,,,105.2,240.1,103.7,237.6,2043.5,14
1140 N LASALLE ST,60610,0,NEAR NORTH SIDE,,80408,,1,5799,,,,,,,,,,,
Hampton Inn & Suites Chicago - Downtown,60654,,NEAR NORTH SIDE,Hotel,160000,1999,1,,14,9513403,14544099,,,150.4,282.1,152.5,283,2684,16.8
2019 - 60 E 36th,60653,4,DOUGLAS,Multifamily Housing,93310,1984,1,3832,89,1728646.1,,,,18.5,51.9,18,50.5,287.6,3.1
University Park CA,60615,4,HYDE PARK,Multifamily Housing,538980,1961,2,28790,84,1319686.5,51582900.9,,,98.2,107.3,99.8,109.1,2959.4,5.5
Willis Tower,60606,3,LOOP,Office,4483315,1973,1,77046,62,318995557,,,,75.8,204.1,,,54164.7,12.1
Gateway to West Loop,60661,,NEAR WEST SIDE,Supermarket/Grocery Store,95862,2012,1,,100,5010884,10079643,,,157.4,274.5,161.6,278.9,1542,16.1
Wright College,60634,4,DUNNING,College/University,544380,1993,4,8401,,19376881.1,33910995.9,,,97.9,165.1,98.2,165.4,5024.8,9.2
Hanson Park-CPS,60639,,BELMONT CRAGIN,K-12 School,132816,1959,1,,94,1782159.6,5578446.9,,,55.4,86.2,61.8,94.6,624.8,4.7
72 E 11th St,606051996,,LOOP,College/University,69214,1927,1,,,2382776,2675537,,,73.1,148.7,76.9,152.7,621,9
Payton Colle-CPS,60610,,NEAR NORTH SIDE,K-12 School,207870,2001,1,,38,9768255.7,6027701.9,,,76,178,78.3,177.9,2120.7,10.2
Hedges Eleme-CPS,60609,,NEW CITY,K-12 School,109118,1906,1,,71,2060349.5,4909866.8,,,63.9,106.5,71,114,640.6,5.9
Doolittle El-CPS,60616,,DOUGLAS,K-12 School,186448,1923,1,,48,3568966,10745568,,,76.8,120.6,85.8,130.1,1230.6,6.6
400 South Jefferson,60607,,NEAR WEST SIDE,Office,275487,1946,1,,97,7548016,6035929,,,49.3,109,50.4,109.6,1837,6.7
"740 N. Milwaukee, LLC",60642,4,WEST TOWN,Multifamily Housing,82600,2003,1,,94,1785056,1616155.2,,,41.2,81.1,40.1,78.8,382.8,4.6
Jordan Comm-CPS,60626,,ROGERS PARK,K-12 School,66950,1996,1,,46,2100793.3,3438034.8,,,82.7,152.4,87.8,157.8,569.8,8.5
Park Place Tower: 655 West Irving Park Road,60613,,LAKE VIEW,Multifamily Housing,989315,1974,1,,31,23937954,61801933,,,86.7,141.6,92.4,146.8,7708.6,7.8
Black Ensemble Theater,60640,3,UPTOWN,Performing Arts,54219,2011,1,,,1832360,1356886.4,,,58.8,120.9,,,376.9,7
2909 North Sheridan Condominium Homes,60657,,LAKE VIEW,Multifamily Housing,211777,1952,1,,80,3562090.5,13133723.3,,,78.8,117.9,84.2,121.3,1354.2,6.4
James R Thompson Center,60601,1.5,LOOP,Office,1193163,1985,1,22647,29,80642654.1,45624728,,,105.8,229.4,104.2,227.7,15839.4,13.3
6800 S NORMAL BLVD,60621,0,ENGLEWOOD,,53913,,1,2046,,,,,,,,,,,
"Jewel Osco, 03296-Foster & Harlem",60656,0,NORWOOD PARK,,77255,,1,,,,,,,,,,,,
Two North LaSalle,60602,,LOOP,Office,776691,1978,1,,91,40901657,,,,52.7,165.4,54,169.7,8218,10.6
Chicago Historical Society,60614,,LINCOLN PARK,Museum,270160,1932,1,,,18989070,23841000,,,158.5,313.1,159.9,314.5,5074,18.8
Crerar Library,60637,2,HYDE PARK,Library,168656,1984,1,,,5222751.8,,6841095.2,6868079.9,112.3,172.6,111.6,172,1685.1,10
1225 Old Town,60610,,NEAR NORTH SIDE,Multifamily Housing,438160,2012,1,,87,8804048.4,20165218.7,,,66.1,111.4,70.4,115.9,2693.8,6.1
Chatham Ridge Shopping Center,60620,,CHATHAM,Strip Mall,148378,1989,1,,,11755138,8065283,,,133.6,305.8,137.2,309.7,2790,18.8
Hampton Inn & Suites Chicago - Downtown,60654,1,NEAR NORTH SIDE,Hotel,160000,1999,1,11491,16,7932231.2,18079600.4,,,162.6,257.5,160.2,254.2,2279.9,14.2
Dr King Legacy Apartments,60623,,NORTH LAWNDALE,Multifamily Housing,62631,2011,1,,100,945339,286562,,,19.7,52.2,21.1,56,190,3
Regatta Condominium Association,60601,,LOOP,Multifamily Housing,452227,2006,1,,44,13592173,23703268,,,82.5,149.4,86.2,153.3,3772.1,8.3
William Jones Apartments,60608,,NEAR WEST SIDE,Multifamily Housing,64491,1962,1,,39,1571495.5,8416759.4,,,154.9,213.6,154.9,213.6,736.7,11.4
218 South Wabash Building,60604,,LOOP,Office,111550,1900,1,,72,5916650,665046,,,59,172.8,60,175.8,1224,11
Algonquin #1,60615,,KENWOOD,Multifamily Housing,59310,1950,1,,4,2222287,5437087,,,129.1,213.9,136.6,221.8,699.7,11.8
20 North Michigan Avenue,60602,4,LOOP,Office,214800,1880,1,,59,9993625.2,6367116.5,,,76.2,161.4,75.5,160.6,2000.8,9.3
Mann Park,60633,,HEGEWISCH,Other - Recreation,51273,1934,1,,,867866.1,1953827.3,,,55,93.2,62.2,100.6,263.7,5.1
(ILCH8) - Astoria Towers [external],60605,,LOOP,Multifamily Housing,304406,2009,1,,47,9889395,12104135,,,72.3,143.8,77.3,149.9,2471.4,8.1
820 W. Jackson LLC,60607,,NEAR WEST SIDE,Office,175086,1915,1,,40,15352219,,,,87.7,275.3,87.7,275.3,3085,17.6
Cumberland Centre - Building 1,60656,,OHARE,Office,193449,1987,1,,87,7125652,5216270,,,63.8,144,66.6,146.1,1594.6,8.2
Oakley Sqaure,60612,,NEAR WEST SIDE,Multifamily Housing,136851,1979,3,,14,5869588.5,9839525.4,,,114.8,210.2,119.9,213.3,1604.5,11.7
Owens-CPS,60628,1,ROSELAND,K-12 School,75744,1980,1,3359,7,2854405.8,5841880.9,,,114.8,186.5,115.7,187.9,785.2,10.4
State and Chestnut,60610,,NEAR NORTH SIDE,Multifamily Housing,449500,2015,1,,88,5739660,19496999,,,56.1,85.6,59.3,89,2096.8,4.7
Saint Francis of Assisi/OLA School-Galapagos Charter,60651,,HUMBOLDT PARK,K-12 School,55455,1960,1,,95,284968,2718600,,,54.2,67.6,60.1,73.8,197.1,3.6
Porta Coeli Residence,60617,,South Deering,Multifamily Housing,79039,2015,1,,82,826305,4067747,,,61.9,86.9,67.7,92.9,368.8,4.7
The Scott Residences,60610,,NEAR NORTH SIDE,Multifamily Housing,72639,2014,1,,2,4381059.2,1584742,,,82.1,212.3,80.6,207.5,891.7,12.3
Northwestern University Chicago Campus,60611,,NEAR NORTH SIDE,College/University,2238599,1925,12,,,227341321.2,549330198.1,,,346.9,576.5,356.4,581.1,71081.4,31.8
Thorndale Manor Apartments (1020 West Thorndale Ave),60660,2.5,EDGEWATER,Multifamily Housing,55000,1976,1,4035,33,1169746.2,4636391.6,,,105.6,148.1,108.9,151.6,440.9,8
Burnham Station Condominium Association,60605,,NEAR SOUTH SIDE,Multifamily Housing,125000,2000,1,,45,4174988,3878916,,,64.4,137.5,67.8,141.9,978,7.8
El Lago Condominium Association,60660,,EDGEWATER,Multifamily Housing,295050,1959,1,,34,5837935,23796889,,,100.4,146.8,101.8,148,2437,8.3
Maple Pointe Apartments: Maple Pointe Apartments,60610,,NEAR NORTH SIDE,Multifamily Housing,207540,1996,1,,12,6054833,23866000,,,144.2,212.4,145.8,214.1,2387.1,11.5
Bloomingdale Apartments,60639,,HUMBOLDT PARK,Multifamily Housing,102457,1983,1,,37,3962734.3,3411772.3,,,72,156.4,74.3,160.5,911.6,8.9
The Broadmoor Apartments,60626,4,ROGERS PARK,Multifamily Housing,130365,1922,1,427,90,1943956.3,5434843.8,,,56.6,85.5,56.6,84.8,612.1,4.7
116 S. Michigan Ave.,60603,,LOOP,College/University,114507,1906,1,,,10363268,306331,,,93.2,287,93.2,287,1932.4,16.9
Hermitage on Huron Condominium (235635),60654,,NEAR NORTH SIDE,Multifamily Housing,263120,1985,1,,1,6559085.5,44890256.1,,,195.5,257.4,216.8,277.4,3593.3,13.7
"Beecher, Kelley, Green, Foster, Social Science Research Building",60637,2,HYDE PARK,Office,181231,1929,3,,,3694291.8,,12407868.5,,88.8,139.4,90.1,141.2,1438.5,7.9
Chicago Board of Trade Building,60604,,LOOP,Office,1573971,1930,1,,65,141357318,,,62757738,130,322,128,318,31708,20.15
Erie on the Park Condominium Association,60654,,NEAR NORTH SIDE,Multifamily Housing,243690,2002,1,,25,3800408.4,14470918.2,,7586686.1,106.1,142.5,112.1,148.9,1868.9,7.7
26 North Halsted,60661,,NEAR WEST SIDE,Office,57251,1984,1,,10,8515045,3730999,,,213.9,535.4,217.8,541.2,1772.6,31
Eberhart Ele-CPS,60629,,CHICAGO LAWN,K-12 School,164398,1906,1,,51,4880637,4838685,,,59.1,124.1,64.7,130,1159.4,7.1
Morgan Park United Methodist Church,60643,,MORGAN PARK,Worship Facility,66500,1927,1,,100,321080,40257,,,5.4,15.8,5.5,15.9,61.5,0.9
One North Franklin,60606,,LOOP,Office,716245,1991,1,,87,37484095.5,,,,52.4,164.4,53.9,169.2,6910.3,9.6
#1912 North Avenue,60622,,WEST TOWN,Retail Store,190000,1996,1,,56,9233452,9357095,,,97.8,204.3,101.6,208.3,2352,12.4
Stowe-CPS,60647,,HUMBOLDT PARK,K-12 School,133900,1990,1,,60,2921180,6354665,,,69.3,118.3,73.7,123.9,924,6.9
Fuller-CPS,60653,,GRAND BOULEVARD,K-12 School,91800,1968,1,,79,1523282,3301791,,,52.6,89.9,58.2,95.8,457,5
StevensonAdl-CPS,60652,3,ASHBURN,K-12 School,111809,1953,1,1522,67,3276298.6,1511201.5,,,42.8,96.2,42.6,95.8,625.3,5.6
8516-Bucktown,60614,,LOGAN SQUARE,Supermarket/Grocery Store,80033,2013,1,,78,13083273.1,6968600.1,,,250.5,604.7,255.2,606.6,2781.7,34.8
Tandem Lofts Condo Assoc (1625-31 S. Michigan Ave.),60616,,NEAR SOUTH SIDE,Multifamily Housing,85800,2000,1,,74,1582001.1,4537279.5,,,71.3,113.4,75.8,117.1,532.6,6.2
Chicago Indoor Sports,60609,,NEW CITY,Other - Recreation,91000,2007,1,,,2640006,1752025.6,,,48.3,111.3,51.4,114.6,579.7,6.4
1200 Condominium Association,60610,,NEAR NORTH SIDE,Multifamily Housing,96384,1925,1,,27,1709910,7074608,,,91.1,132.8,99.8,142.9,691.9,7.2
229-Senior Suites-Austin,60644,,AUSTIN,Senior Care Community,60000,1996,1,,44,1950398.1,4040699.9,,,99.9,172.8,107.6,181,574.1,9.6
550 West Washington,60661,4,NEAR WEST SIDE,Office,392503,2000,1,3682,73,21987719.6,,,,56,156.9,55.8,156.3,3658,9.3
401 N Michigan Avenue,60611,,NEAR NORTH SIDE,Office,878884,1965,1,,83,29935005,53891244,,,95.4,171.3,100.3,176.5,8397.2,9.6
Edgewater Venture LLLP,60654,2.5,EDGEWATER,Multifamily Housing,52237,1929,1,2963,60,1969484.9,879222,,,54.5,123.2,53.7,120.8,374.4,7.2
(IL923) - 4200 Marine Drive,60613,4,UPTOWN,Multifamily Housing,114400,1950,1,2736,68,1826419.7,7894146.6,,,85,117.2,83.5,115.6,723.1,6.3
Jewel Food Store,60656-4239,,OHARE,Supermarket/Grocery Store,51447,1997,1,,80,7850684,3022300,,,211.3,540.8,212,540.7,1738,33.8
Leo High School,60620,,AUBURN GRESHAM,K-12 School,88206,1926,1,,48,886335,7986137,,,100.6,126.6,107.9,134.3,602,6.8
Dwight Lofts LLC,60605,,LOOP,Multifamily Housing,199480,2008,1,,1,16073447.5,21823599.2,,,190,367.9,190,367.9,4121.8,20.7
Evergreen Ac-CPS,60609,,MCKINLEY PARK,K-12 School,50060,1907,1,,64,1947409.9,2367956.6,,,86.2,171.8,92.7,178.6,484.7,9.7
Alden Estate of Northmoor,60631,,Norwood Park,Senior Care Community,83872,1994,1,,3,6783632.6,8615490.8,,,183.6,361.8,185.3,359.6,1708,20.4
747 N LASALLE DR,60654,0,NEAR NORTH SIDE,,50600,,1,672,,,,,,,,,,,
Hartford Plaza,60606,,LOOP,Office,1281114,1971,1,,84,70988503,52243346,,,96,217,92,212,17037,13.3
Greater Bethlehem Healing Temple Apostolic,60612,0,NEAR WEST SIDE,,94625,,1,1648,,,,,,,,,,,
Hale Element-CPS,60638,,CLEARING,K-12 School,99233,1953,1,,91,1281392,3809861.2,,,51.3,80.9,57.7,87.6,438.5,4.4
55 West Wacker Drive,60601,,LOOP,Office,278671,1967,1,,76,10996627,13553452,,,88.1,175,92.1,179.2,2929,10.5
Park Community Church,60610,,NEAR NORTH SIDE,Other,65000,2007,1,,,3435751,1688509,,,78.8,193.2,81.8,198.2,780,12
500 N Michigan,60611,,NEAR NORTH SIDE,Office,391248,1968,1,,70,25591058,,,,65.4,205.4,67.8,213,5142,13.1
Acero Schools - Rogers Park,60645,,WEST RIDGE,K-12 School,204041,1865,1,,96,2435668,11324619,,,67.4,95.8,72.9,101.5,1051.8,5.2
Bethel Terrace,60621,,ENGLEWOOD,Multifamily Housing,81078,1983,1,,4,5884096,2149055,,,99.1,255.7,105,270.8,1202.1,14.8
PetersonElem-CPS,60625,,NORTH PARK,K-12 School,97862,1925,1,,39,4054892.5,3883983.5,,,81.1,171.8,85.1,175.9,953.7,9.7
5107 S Blackstone,60615,1,Hyde Park,Multifamily Housing,83819,1990,1,,9,1590880.1,10906830.2,,,149.1,189.8,149.9,190.6,844,10.1
230 East Ohio,60611,2,NEAR NORTH SIDE,Office,75340,1917,1,1748,40,3489489.9,4067576.7,,,100.3,186.4,99.5,183.6,796.6,10.6
131 S. Dearborn 3,60603,,LOOP,Office,1652550,2002,1,,82,163583767.9,78570,,,99,310.9,99,310.9,30156.1,18.2
111 South Morgan,60607,4,NEAR WEST SIDE,Multifamily Housing,190538,2003,1,5476,69,5558083.2,8474965.2,,,73.6,128.4,73.4,126.5,1374.8,7.2
"Onni Atrium Apartments, LP",60610,,NEAR NORTH SIDE,Multifamily Housing,143463,1976,1,,14,4592234.7,8692990.5,,,92.6,164.1,97.7,166.9,1308.2,9.1
(IL044) - Lincoln Lofts Condo,60657,4,Lake View,Multifamily Housing,179072,1936,1,2111,100,1545120.8,4377018.7,,,33.1,49.8,31.9,48.6,489.5,2.7
Washington Square CA,60607,,NEAR WEST SIDE,Multifamily Housing,67800,2000,1,,77,1225833,3451772,,,69,110.2,73.2,114.8,410,6
Sono East,60642,,NEAR NORTH SIDE,Multifamily Housing,317997,2012,1,,2,10995153,37244367,,,151.7,231.5,151.8,232,4011.2,12.6
Thorp Schola-CPS,60634,2,DUNNING,K-12 School,93200,1918,1,957,50,1822996.5,7134838.6,,,96.1,135.1,92.7,131.8,682.2,7.3
120 North LaSalle,60602,,LOOP,Office,477123,1991,1,,80,27322020,,,,57.3,179.8,59.5,187,5051.7,10.6
8534-New City,60616,,Near North Side,Supermarket/Grocery Store,83678,2015,1,,86,11727211.2,4769299.6,,,197.1,499.9,197.1,499.9,2414.9,28.9
5100 Hyde Park Association,60615,3.5,HYDE PARK,Multifamily Housing,111592,1910,1,2471,72,758306.8,7081927.9,,,70.3,85.7,71.2,86.3,502.3,4.5
MILA,60601,4,Loop,Multifamily Housing,514060,2016,1,10610,87,11937762.3,14489290.1,,,51.4,94.6,50.4,93.5,2755.6,5.4
Thorndale Beach South Condominium Association,60660,,EDGEWATER,Multifamily Housing,287849,1967,1,,12,17704700.8,,,,61.5,193.1,65.5,205.5,3263.4,11.3
Professional Office Building,60613,1.5,UPTOWN,Medical Office,51825,2006,1,2410,40,4103394,,,,79.2,221.7,79.2,221.7,682.7,13.2
Hattie Callner,60657,3,LAKE VIEW,Multifamily Housing,115000,1965,1,3683,64,1533614.2,9555689.3,,,96.4,124.6,93.3,121.2,762.7,6.6
The Knight Building,60610,,NEAR WEST SIDE,Office,128486,1909,1,,84,4404476,4456163,,,69,144.1,74.2,148.8,1051.1,8.2
Gary Comer Youth Center,60619,,GREATER GRAND CROSSING,Other,80000,2006,1,,,5626347,1745248,,,92.1,243.7,93.3,244,1223,15.3
The Clare,60611,,NEAR NORTH SIDE,Multifamily Housing,628040,2008,1,,2,28911227,52565372,,,129.7,232.4,133,235.9,8601,13.7
,60616,,NEAR SOUTH SIDE,,103900,,1,2,,,,,,,,,,,
Hotel Blake,60605,,LOOP,Hotel,150000,1896,1,,70,6259754.1,7689231.5,,,93,184.9,95.8,184.5,1562.2,10.4
